"key","value","date"
"republican",1,"12/01/12"
"republican",1,"12/01/14"
"republicans",1,"01/01/09"
"republicans",1,"03/01/09"
"republicans",13,"04/01/09"
"republicans",34,"05/01/09"
"republicans",52,"06/01/09"
"republicans",106,"07/01/09"
"republicans",2,"08/01/09"
"republicans",72,"09/01/09"
"republicans",23,"10/01/09"
"republicans",189,"11/01/09"
"republicans",203,"12/01/09"
"republicans",173,"01/01/10"
"republicans",180,"02/01/10"
"republicans",63,"03/01/10"
"republicans",179,"04/01/10"
"republicans",171,"05/01/10"
"republicans",215,"06/01/10"
"republicans",180,"07/01/10"
"republicans",47,"08/01/10"
"republicans",144,"09/01/10"
"republicans",127,"10/01/10"
"republicans",168,"11/01/10"
"republicans",137,"12/01/10"
"republicans",1,"01/01/11"
"republicans",1,"03/01/11"
"republicans",1,"04/01/11"
"republicans",1,"05/01/11"
"republicans",1,"06/01/11"
"republicans",1,"08/01/11"
"republicans",1,"09/01/11"
"republicans",1,"01/01/12"
"republicans",1,"02/01/12"
"republicans",1,"03/01/12"
"republicans",2,"04/01/12"
"republicans",1,"07/01/12"
"republicans",1,"08/01/12"
"republicans",97,"09/01/12"
"republicans",1,"10/01/12"
"republicans",1,"11/01/12"
"republicans",1,"12/01/12"
"republicans",1,"12/01/14"
"voters",1,"01/01/09"
"voters",1,"03/01/09"
"voters",225,"04/01/09"
"voters",97,"05/01/09"
"voters",166,"06/01/09"
"voters",72,"07/01/09"
"voters",2,"08/01/09"
"voters",225,"09/01/09"
"voters",1,"10/01/09"
"voters",172,"11/01/09"
"voters",198,"12/01/09"
"voters",154,"01/01/10"
"voters",205,"02/01/10"
"voters",215,"03/01/10"
"voters",1,"04/01/10"
"voters",154,"05/01/10"
"voters",97,"06/01/10"
"voters",173,"07/01/10"
"voters",63,"08/01/10"
"voters",52,"09/01/10"
"voters",44,"10/01/10"
"voters",153,"11/01/10"
"voters",1,"12/01/10"
"voters",1,"01/01/11"
"voters",1,"03/01/11"
"voters",1,"04/01/11"
"voters",1,"05/01/11"
"voters",1,"06/01/11"
"voters",1,"08/01/11"
"voters",1,"09/01/11"
"voters",1,"01/01/12"
"voters",1,"02/01/12"
"voters",1,"03/01/12"
"voters",1,"04/01/12"
"voters",1,"07/01/12"
"voters",1,"08/01/12"
"voters",1,"09/01/12"
"voters",1,"10/01/12"
"voters",1,"11/01/12"
"voters",1,"12/01/12"
"voters",1,"12/01/14"
